global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
378,2,161,0.00003949,4.956836,0.05,0.05,,,,
379,2,162,0.00003949,4.729688,0.1,0.1,,,,
380,2,163,0.00003949,4.766797,0,0.05,,,,
381,2,164,0.00003949,4.950976,0,0.05,,,,
382,2,165,0.00003949,4.727539,0,0.05,,,,
383,2,166,0.00003948,4.591309,0,0,,,,
384,2,167,0.00003948,4.929492,0,0,,,,
385,2,168,0.00003948,4.863183,0,0.1,,,,
386,2,169,0.00003948,4.952929,0,0,,,,
387,2,170,0.00003948,4.818848,0,0,,,,
388,2,171,0.00003948,4.849023,0,0,,,,
389,2,172,0.00003948,4.84707,0,0,,,,
390,2,173,0.00003947,4.822852,0.1,0.1,,,,
391,2,174,0.00003947,4.839355,0,0,,,,
392,2,175,0.00003947,4.773926,0.05,0.1,,,,
393,2,176,0.00003947,4.788379,0,0.05,,,,
394,2,177,0.00003947,4.851758,0,0.1,,,,
395,2,178,0.00003947,5.037109,0,0.1,,,,
396,2,179,0.00003947,4.818652,0,0.05,,,,
397,2,180,0.00003946,4.67998,0.05,0.05,,,,
398,2,181,0.00003946,4.741015,0,0.1,,,,
399,2,182,0.00003946,4.771484,0,0,,,,
400,2,183,0.00003946,4.813281,0,0,,,,
401,2,184,0.00003946,4.916211,0,0.05,,,,
402,2,185,0.00003946,5.038086,0,0,,,,
403,2,186,0.00003945,4.670215,0,0.1,,,,
404,2,187,0.00003945,4.707031,0,0.05,,,,
405,2,188,0.00003945,4.953223,0,0,,,,
406,2,189,0.00003945,4.600293,0.05,0.15,,,,
407,2,190,0.00003945,5.09668,0,0,,,,
408,2,191,0.00003945,4.706738,0,0,,,,
409,2,192,0.00003945,4.746192,0,0.05,,,,
410,2,193,0.00003944,4.772851,0,0.05,,,,
411,2,194,0.00003944,4.918262,0,0.05,,,,
412,2,195,0.00003944,4.755371,0.05,0.05,,,,
413,2,196,0.00003944,4.786133,0,0,,,,
414,2,197,0.00003944,5.135742,0,0,,,,
415,2,198,0.00003944,4.711328,0.05,0.1,,,,
416,2,199,0.00003944,4.63916,0.05,0.1,,,,
417,2,200,0.00003943,4.80586,0,0,,,,
418,2,201,0.00003943,4.833789,0,0,,,,
419,2,202,0.00003943,4.631836,0,0.05,,,,
420,2,203,0.00003943,4.795312,0,0.1,,,,
421,2,204,0.00003943,4.926562,0,0,,,,
422,2,205,0.00003943,5.096875,0.05,0.05,,,,
423,2,206,0.00003942,4.744141,0.1,0.15,,,,
424,2,207,0.00003942,4.59707,0.05,0.15,,,,
425,2,208,0.00003942,4.72334,0,0,,,,
426,2,209,0.00003942,4.830664,0,0.05,,,,
427,2,210,0.00003942,4.531934,0.05,0.15,,,,
428,2,211,0.00003942,4.934082,0,0,,,,
429,2,212,0.00003942,4.681543,0.05,0.15,,,,
430,2,213,0.00003941,4.778516,0.05,0.05,,,,
431,2,214,0.00003941,4.767676,0,0.05,,,,
432,2,215,0.00003941,4.927344,0,0,,,,
433,2,216,0.00003941,4.953418,0,0,,,,
